feature,fscore,overall
L0_S15_start_date_id_diff_reverse,0.00238529794032,True
L0_S11_start_date_rank,0.00236151346157,True
L3_S29_F3395,0.00235230221544,True
L3_S35_end_date_id_diff,0.00234149155186,True
L1_S24_F1110,0.00233602375565,True
L3_S32_end_date,0.00232393351365,True
L0_S6_D120,0.00232329954187,True
L0_S7_start_date_id_diff_reverse,0.0023099238187,True
L3_S30_start_date,0.00230682580769,True
L3_S30_F3734,0.00230520977409,True
L0_S1_time_span,0.00230351148707,True
L0_S0_F12,0.00230294566537,True
L0_S11_start_date_id_diff,0.00229781669105,True
L1_S24_F1783,0.00229669296581,True
L3_S35_start_date_id_diff_magic,0.00229323035809,True
L0_S4_start_date_rank,0.00229249097097,True
L0_S1_end_date_id_diff_magic,0.00229208162339,True
L1_S25_F1894,0.002282039871,True
L0_S0_D1,0.00227055560013,True
L1_S24_F1695,0.00225952693352,True
L3_S30_F3709,0.00224446873232,True
L0_S10_F244,0.00224340403257,True
L1_S25_F2046,0.00224245923899,True
L0_S11_end_date_rank,0.00222740119507,True
L0_S18_D437,0.00222704140766,True
L2_S26_F3069,0.00221654970209,True
L0_S9_F160,0.00220930749862,True
L2_S26_F3121,0.00220471168427,True
L0_S8_start_date,0.00219298245614,True
L3_S35_end_date,0.00219298245614,True
L0_S2_time_span_rank,0.00218802452623,True
L1_S24_F1575,0.00218559216125,True
L3_S33_end_date_id_diff,0.00218538150502,True
L0_S15_D395,0.00218385564315,True
L0_S11_start_date_id_diff_reverse,0.0021837224917,True
L3_S34_D3877,0.00217506966232,True
L0_S10_D216,0.00217066115128,True
L0_S1_start_date_id_diff_magic,0.00216674764469,True
L0_S7_start_date_id_diff,0.00215970834591,True
L0_S3_start_date_id_diff_reverse,0.00215799015249,True
L3_S47_F4158,0.00215443662708,True
L1_S24_F1758,0.00214927733427,True
L0_S11_F326,0.00214620930417,True
L0_S10_F249,0.00213635542159,True
L3_S30_F3784,0.00213456211733,True
L3_S30_F3689,0.00210605522885,True
L2_S28_start_date_id_diff_magic,0.00209801338328,True
L1_S25_time_span,0.00209731231934,True
L3_S29_F3376,0.00209723418745,True
L0_S2_start_date_id_diff_reverse,0.00209285906984,True
L2_S26_F3040,0.00208680431418,True
L0_S21_start_date_id_diff_reverse,0.00208543762795,True
L0_S3_F72,0.00207933394358,True
L3_S37_start_date_rank,0.00207105243593,True
L0_S11_F286,0.00206201521964,True
L0_S4_start_date_id_diff_reverse,0.00205767065524,True
L3_S30_F3534,0.0020540720003,True
L0_S3_F100,0.00205210156812,True
L0_S7_F138,0.00205200036807,True
L1_S25_F2176,0.00204796481073,True
L3_S30_F3589,0.00204556354101,True
L2_S26_F3062,0.0020411435012,True
L0_S5_D115,0.00204038074982,True
L1_S24_F1520,0.00203918757941,True
